mouse_id,cohort,group,id_threshold,k_shelter,k_threat,delta_stay,sensory_prec_slope
13,original,control,0.7,0.36,0.45,1.37,0.64
14,original,defeat,0.65614849,0.58125532,0.45,2.66451353,0.55681772
15,original,control,0.64502496,0.19794371,0.3661316,1.08199218,0.66211049
16,original,defeat,0.51139878,0.22573139,1.1170935,1.13914431,0.84859701
17,original,defeat,0.57622436,0.5043696,0.45,1.22469371,0.60787208
18,original,control,0.67590429,0.30575832,0.37479773,1.09095019,0.67333552
20,original,control,0.52582576,0.6992691,0.4831619,2.16508165,0.76892445
21,original,control,0.10363083,4.82598988,0.11808067,5.54714879,0.04686974
22,original,control,0.65090129,0.73420737,1.20418308,2.7398994,0.84593506
23,original,defeat,0.56282284,0.52583242,0.37792862,1.44346783,0.60647301
24,original,defeat,0.10363083,4.82598988,0.11808067,5.54714879,0.04686974
25,original,control,0.56883451,0.65114565,1.49608608,3.22191556,0.20014442
26,original,defeat,0.47497854,0.73502194,0.40967481,2.77556843,0.71918364
4,new,control,0.6654,0.7189,0.5622,2.6094,0.6902
5,new,control,0.1058,4.8231,0.1354,4.0835,0.0504
6,new,control,0.5668,0.6029,0.9498,3.7003,0.884
1,new,defeat,0.7,0.36,0.45,1.37,0.64
2,new,defeat,0.8302,0.7343,0.3322,2.2856,0.7829
3,new,defeat,0.5138,0.2711,1.133,1.0607,0.8771
