mouse,group,phase,t_shelter,t_investigating,n_sh_co,n_co_sh,n_co_ch,n_ch_co,heatmap_entropy,laziness
1,Defeat,def1,0.1765,0.471,12,11,11,10,4.3857,0.8205
2,Defeat,def1,0.136,0.422,6,6,12,12,4.7783,0.7675
3,Defeat,def1,0.323,0.159,19,19,13,12,4.5444,0.7925
4,Control,def1,0.3355,0.2325,11,11,7,7,4.0012,0.859
5,Control,def1,0.231,0.3135,12,12,19,19,4.883,0.6785
6,Control,def1,0.0925,0.2875,4,4,9,8,4.4021,0.7795
1,Defeat,def3,0.398,0.23,26,25,7,7,4.3595,0.8075
2,Defeat,def3,0.2905,0.197,8,8,15,15,4.7042,0.7605
3,Defeat,def3,0.4715,0.309,9,9,7,7,3.6855,0.8805
4,Control,def3,0.1205,0.4835,6,6,6,6,4.4237,0.8125
5,Control,def3,0.2835,0.396,17,18,8,8,4.398,0.8245
6,Control,def3,0.034,0.6105,3,3,8,7,4.0843,0.789
