mouse,phase,half,t_shelter,t_investigating,n_sh_co,n_co_sh,n_co_ch,n_ch_co,heatmap_entropy,laziness
13,def1,first,0.132,0.493,3,3,5,4,3.796199211082139,0.842
13,def1,second,0.024,0.528,2,2,5,6,3.9614944614252585,0.839
13,def3,first,0.128,0.335,3,4,4,4,3.7662775322926825,0.826
13,def3,second,0.234,0.239,6,5,6,5,4.385390897634756,0.788
14,def1,first,0.043,0.645,1,1,4,4,3.110197246447643,0.872
14,def1,second,0.187,0.446,4,4,5,5,3.5670161368940896,0.855
14,def3,first,0.15,0.56,4,4,4,4,3.12030732773591,0.882
14,def3,second,0.278,0.179,9,9,4,4,4.0103460941842695,0.815
15,def1,first,0.197,0.499,4,4,3,4,3.5836080347564487,0.873
15,def1,second,0.0,0.926,0,0,1,0,0.6699302541871277,0.98
15,def3,first,0.219,0.407,6,6,3,3,3.594195552843342,0.873
15,def3,second,0.146,0.36,5,5,3,3,4.035277709223418,0.841
16,def1,first,0.248,0.163,7,8,3,4,3.845386943383147,0.841
16,def1,second,0.383,0.077,7,7,3,3,3.7181268649926205,0.845
16,def3,first,0.088,0.591,2,2,4,5,2.682747434108387,0.876
16,def3,second,0.121,0.654,3,3,4,4,2.5813033912500623,0.867
17,def1,first,0.066,0.371,3,3,4,4,3.353255624490662,0.859
17,def1,second,0.077,0.579,3,3,4,3,3.7489965727341237,0.875
17,def3,first,0.219,0.365,2,3,4,4,3.4189439260468486,0.889
17,def3,second,0.064,0.539,3,2,3,3,3.2949659350689413,0.888
18,def1,first,0.104,0.376,2,2,6,7,4.3174560716177215,0.821
18,def1,second,0.062,0.488,1,1,3,2,3.941233805386835,0.863
18,def3,first,0.164,0.323,3,3,4,4,4.464733015303362,0.812
18,def3,second,0.069,0.342,3,3,4,4,4.63445655092202,0.813
19,def1,first,0.119,0.175,2,3,6,7,4.744350801027387,0.769
19,def1,second,0.062,0.304,2,1,8,7,4.67149469178544,0.772
19,def3,first,0.037,0.175,1,1,7,7,4.313858740721352,0.793
19,def3,second,0.0,0.675,0,0,4,5,2.858669509781412,0.865
20,def1,first,0.061,0.269,3,3,7,6,4.127656968823581,0.786
20,def1,second,0.286,0.076,9,9,3,4,4.16424028684925,0.79
20,def3,first,0.147,0.086,6,5,3,3,4.093231180890149,0.79
20,def3,second,0.288,0.141,10,10,3,3,4.0748854430803485,0.803
21,def1,first,0.292,0.455,5,5,4,5,3.738800635986968,0.831
21,def1,second,0.19,0.511,6,6,6,5,4.3201882536459335,0.797
21,def3,first,0.088,0.532,6,6,6,5,4.505144248725521,0.712
21,def3,second,0.182,0.334,6,6,5,5,4.655091718604172,0.748
22,def1,first,0.154,0.163,4,4,11,10,4.993406973848856,0.78
22,def1,second,0.277,0.115,8,9,4,5,4.725070220371169,0.796
22,def3,first,0.145,0.292,7,7,6,6,4.9810931567820464,0.785
22,def3,second,0.139,0.223,6,6,4,4,4.732524150348468,0.798
23,def1,first,0.092,0.441,3,3,3,3,4.3774666535469615,0.816
23,def1,second,0.297,0.232,9,9,9,9,4.926675671999784,0.756
23,def3,first,0.382,0.423,8,8,5,5,3.871999066267564,0.866
23,def3,second,0.269,0.35,10,9,8,7,4.750570769006189,0.812
24,def1,first,0.158,0.547,9,8,4,3,4.022056914027773,0.815
24,def1,second,0.022,0.569,1,1,3,3,3.6739182401995865,0.851
24,def3,first,0.714,0.126,9,8,4,4,3.3444393354167774,0.857
24,def3,second,0.563,0.109,13,14,5,5,4.12889051007174,0.821
25,def1,first,0.179,0.532,4,3,4,3,4.447265593559071,0.839
25,def1,second,0.075,0.493,1,1,1,1,4.346669745337528,0.881
25,def3,first,0.048,0.606,1,1,4,3,4.2179978653740235,0.824
25,def3,second,0.206,0.426,3,3,2,2,4.475613983318983,0.835
26,def1,first,0.248,0.397,8,8,3,3,4.472724432352092,0.812
26,def1,second,0.334,0.392,6,7,4,4,4.14888592745747,0.837
26,def3,first,0.763,0.077,5,5,1,1,2.454360230502968,0.935
26,def3,second,0.885,0.037,10,10,1,1,2.2772384503290852,0.935
