phase,metric,n,statistic,p_value,effect_size_r
def1,t_shelter,14,45.0,0.6697998046875,0.11396628192307108
def1,t_investigating,14,51.0,0.9515380859375,0.01624290757803191
def1,n_sh_co,14,32.0,0.9289071129032411,0.02384503393188001
def1,n_co_sh,14,44.0,0.9159476240157716,0.028206653041672566
def1,n_co_ch,14,24.0,0.4215242125410793,0.21481916224654957
def1,n_ch_co,14,22.0,0.32445265008967616,0.2633456091763721
def1,heatmap_entropy,14,52.0,1.0,0.0
def1,laziness,14,30.5,0.16683501746933305,0.3694740455984597
def3,t_shelter,14,47.0,0.7608642578125,0.08133990588289373
def3,t_investigating,14,37.0,0.3575439453125,0.24589507934114369
def3,n_sh_co,14,9.0,0.0175730938900655,0.6346098106816515
def3,n_co_sh,14,16.0,0.06468854380124926,0.49373960935225564
def3,n_co_ch,14,14.5,0.6201804438491374,0.13245323570650436
def3,n_ch_co,14,13.0,0.47048642205878966,0.19287918745261493
def3,heatmap_entropy,14,33.0,0.2412109375,0.3132209351646107
def3,laziness,14,37.5,0.575870420044519,0.1495131229806133
pooled,t_shelter,28,178.0,0.5823858305811882,0.10392191970610885
pooled,t_investigating,28,178.0,0.5823858305811882,0.10392191970610885
pooled,n_sh_co,28,85.0,0.1048518196811761,0.30648641386423664
pooled,n_co_sh,28,122.0,0.2691438008554673,0.20883225732957045
pooled,n_co_ch,28,71.5,0.34036567833519227,0.18018378493939252
pooled,n_ch_co,28,64.0,0.20491072396713184,0.23956980874738457
pooled,heatmap_entropy,28,166.0,0.4117337390780449,0.1551253971262709
pooled,laziness,28,166.5,0.5886881339518899,0.10218988991416099
