timestep,location
0,7
1,7
2,7
3,7
4,7
5,7
6,7
7,7
8,8
9,7
10,8
11,8
12,8
13,8
14,8
15,8
16,8
17,23
18,23
19,23
20,38
21,38
22,38
23,38
24,38
25,38
26,38
27,38
28,38
29,38
30,38
31,38
32,38
33,38
34,38
35,38
36,38
37,38
38,38
39,38
40,38
41,38
42,38
43,38
44,39
45,39
46,39
47,39
48,39
49,39
50,39
51,39
52,38
53,38
54,37
55,37
56,37
57,37
58,37
59,38
60,38
61,38
62,38
63,38
64,38
65,38
66,38
67,23
68,38
69,39
70,39
71,39
72,39
73,39
74,39
75,39
76,38
77,38
78,38
79,37
80,22
81,23
82,38
83,38
84,38
85,38
86,38
87,38
88,38
89,38
90,38
91,38
92,37
93,37
94,37
95,36
96,36
97,36
98,36
99,21
100,6
101,6
102,6
103,6
104,6
105,6
106,6
107,21
108,6
109,21
110,36
111,36
112,36
113,36
114,36
115,36
116,36
117,36
118,36
119,36
120,36
121,36
122,21
123,21
124,21
125,21
126,36
127,37
128,38
129,38
130,38
131,38
132,38
133,38
134,38
135,38
136,38
137,23
138,23
139,23
140,23
141,8
142,8
143,8
144,8
145,8
146,8
147,8
148,8
149,23
150,23
151,8
152,8
153,8
154,23
155,23
156,23
157,23
158,23
159,8
160,8
161,23
162,38
163,38
164,38
165,38
166,38
167,38
168,38
169,39
170,39
171,24
172,23
173,23
174,38
175,38
176,23
177,8
178,9
179,10
180,10
181,10
182,10
183,10
184,10
185,10
186,10
187,10
188,10
189,10
190,10
191,10
192,9
193,8
194,8
195,8
196,8
197,8
198,9
199,9
200,9
201,9
202,9
203,9
204,9
205,8
206,8
207,9
208,9
209,9
210,9
211,9
212,9
213,10
214,10
215,10
216,25
217,40
218,40
219,40
220,39
221,39
222,39
223,38
224,38
225,39
226,40
227,39
228,39
229,39
230,24
231,24
232,24
233,25
234,26
235,26
236,25
237,25
238,25
239,25
240,25
241,25
242,10
243,10
244,25
245,25
246,25
247,25
248,24
249,23
250,22
251,21
252,6
253,6
254,6
255,6
256,6
257,7
258,8
259,8
260,8
261,9
262,10
263,11
264,11
265,11
266,11
267,11
268,11
269,11
270,11
271,11
272,11
273,11
274,11
275,11
276,12
277,12
278,13
279,28
280,43
281,43
282,43
283,44
284,44
285,44
286,45
287,45
288,45
289,51
290,45
291,51
292,51
293,51
294,51
295,51
296,51
297,52
298,52
299,46
300,46
301,46
302,31
303,31
304,32
305,17
306,2
307,2
308,3
309,3
310,3
311,4
312,4
313,4
314,4
315,5
316,5
317,5
318,5
319,5
320,5
321,5
322,4
323,4
324,4
325,3
326,3
327,3
328,3
329,3
330,3
331,4
332,4
333,4
334,4
335,4
336,4
337,4
338,3
339,3
340,18
341,3
342,3
343,3
344,3
345,18
346,18
347,3
348,3
349,3
350,3
351,3
352,3
353,3
354,3
355,3
356,3
357,2
358,2
359,2
360,2
361,2
362,2
363,2
364,2
365,2
366,3
367,3
368,3
369,3
370,3
371,3
372,3
373,3
374,3
375,2
376,3
377,18
378,33
379,33
380,48
381,48
382,48
383,54
384,54
385,54
386,48
387,48
388,48
389,33
390,33
391,33
392,48
393,33
394,33
395,33
396,33
397,33
398,34
399,34
400,34
401,34
402,35
403,35
404,35
405,35
406,35
407,20
408,20
409,20
410,19
411,34
412,34
413,34
414,19
415,18
416,18
417,18
418,3
419,3
420,3
421,3
422,3
423,3
424,3
425,3
426,3
427,3
428,2
429,2
430,1
431,0
432,0
433,0
434,0
435,0
436,0
437,0
438,0
439,0
440,0
441,15
442,0
443,0
444,0
445,0
446,0
447,0
448,0
449,15
450,15
451,15
452,30
453,30
454,45
455,51
456,51
457,51
458,51
459,51
460,51
461,51
462,51
463,51
464,51
465,51
466,51
467,51
468,51
469,51
470,51
471,51
472,51
473,45
474,45
475,30
476,15
477,15
478,0
479,0
480,0
481,0
482,15
483,15
484,15
485,16
486,16
487,15
488,15
489,15
490,15
491,15
492,15
493,16
494,16
495,17
496,17
497,18
498,19
499,19
500,20
501,20
502,5
503,5
504,5
505,5
506,5
507,5
508,5
509,5
510,5
511,5
512,5
513,5
514,5
515,5
516,5
517,5
518,20
519,20
520,5
521,5
522,5
523,5
524,5
525,5
526,5
527,5
528,5
529,5
530,5
531,5
532,4
533,3
534,3
535,3
536,3
537,3
538,3
539,18
540,18
541,18
542,18
543,33
544,33
545,33
546,48
547,48
548,48
549,47
550,32
551,32
552,32
553,31
554,31
555,46
556,46
557,46
558,46
559,46
560,46
561,46
562,31
563,31
564,32
565,32
566,31
567,31
568,16
569,16
570,16
571,16
572,16
573,16
574,16
575,17
576,17
577,16
578,16
579,16
580,17
581,17
582,2
583,2
584,2
585,2
586,2
587,2
588,2
589,2
590,2
591,2
592,2
593,2
594,3
595,3
596,3
597,3
598,3
599,18
600,18
601,18
602,17
603,17
604,16
605,16
606,16
607,16
608,15
609,14
610,14
611,14
612,14
613,14
614,14
615,14
616,14
617,14
618,14
619,29
620,29
621,29
622,14
623,14
624,14
625,14
626,14
627,29
628,29
629,28
630,43
631,28
632,28
633,13
634,13
635,14
636,14
637,29
638,44
639,29
640,29
641,29
642,29
643,14
644,14
645,14
646,29
647,44
648,44
649,44
650,44
651,45
652,45
653,30
654,30
655,30
656,30
657,30
658,45
659,45
660,45
661,45
662,30
663,30
664,30
665,30
666,15
667,15
668,0
669,0
670,1
671,1
