mouse_id,phase,matched_param_set_id,loss_value,param_id_threshold,param_k_shelter,param_k_threat,param_delta_stay,param_sensory_prec_slope
13,def1,188,1.378981,0.7,0.36,0.45,1.37,0.64
13,def3,98,2.000963,0.52216483,0.47974044,0.90953826,3.77525199,0.82091554
14,def1,257,0.493728,0.65614849,0.58125532,,2.66451353,0.55681772
14,def3,435,1.780409,0.64502496,0.19794371,0.3661316,1.08199218,0.66211049
15,def1,435,3.19638,0.64502496,0.19794371,0.3661316,1.08199218,0.66211049
15,def3,239,4.963152,0.80173541,0.30359735,0.07417537,1.52978275,0.4281328
16,def1,207,5.159035,0.51139878,0.22573139,1.1170935,1.13914431,0.84859701
16,def3,435,0.765346,0.64502496,0.19794371,0.3661316,1.08199218,0.66211049
17,def1,282,1.089698,0.57622436,0.5043696,,1.22469371,0.60787208
17,def3,289,2.163091,0.70291686,0.35702343,,1.36843353,0.64060964
18,def1,436,0.822082,0.67590429,0.30575832,0.37479773,1.09095019,0.67333552
18,def3,377,1.834438,0.66537501,0.71889449,0.56219538,2.60938758,0.69024669
20,def1,421,0.844586,0.52582576,0.6992691,0.4831619,2.16508165,0.76892445
20,def3,432,3.7542,0.66916472,0.38762662,1.05070468,1.5063449,0.80870909
21,def1,468,3.065959,0.10363083,4.82598988,0.11808067,5.54714879,0.04686974
21,def3,196,2.469929,0.8040564,1.24570112,0.35521314,1.83558311,0.46685024
22,def1,372,3.654938,0.65090129,0.73420737,1.20418308,2.7398994,0.84593506
22,def3,370,2.919307,0.60020761,0.72064474,1.12097078,2.31483557,0.76848309
23,def1,430,1.912925,0.56282284,0.52583242,0.37792862,1.44346783,0.60647301
23,def3,427,7.193823,0.47497854,0.73502194,0.40967481,2.77556843,0.71918364
24,def1,468,6.44809,0.10363083,4.82598988,0.11808067,5.54714879,0.04686974
24,def3,179,4.5938,0.19465149,5.73582449,1.19677247,1.74789239,
25,def1,215,2.42414,0.56883451,0.65114565,1.49608608,3.22191556,0.20014442
25,def3,215,0.734083,0.56883451,0.65114565,1.49608608,3.22191556,0.20014442
26,def1,427,7.841664,0.47497854,0.73502194,0.40967481,2.77556843,0.71918364
26,def3,146,2.141971,0.06386992,6.56252915,1.21490627,1.85533079,
