mouse,group,phase,best_row,loss,sigma,id_threshold,k_shelter,k_threat,delta_stay,sensory_prec_slope
4,Control,def1,377,5.7651,0.8767,0.6654,0.7189,0.5622,2.6094,0.6902
5,Control,def1,469,0.731,0.3122,0.1058,4.8231,0.1354,4.0835,0.0504
6,Control,def1,49,0.9511,0.3561,0.5668,0.6029,0.9498,3.7003,0.884
1,Defeat,def1,188,2.4325,0.5695,0.7,0.36,0.45,1.37,0.64
2,Defeat,def1,410,0.6375,0.2915,0.8302,0.7343,0.3322,2.2856,0.7829
3,Defeat,def1,222,4.3441,0.7611,0.5138,0.2711,1.133,1.0607,0.8771
4,Control,def3,94,1.8463,0.4962,0.4171,0.5641,0.7549,2.7323,0.6609
5,Control,def3,427,6.9103,0.9599,0.475,0.735,0.4097,2.7756,0.7192
6,Control,def3,214,0.9825,0.3619,0.5822,0.6393,1.5333,3.5376,0.2458
1,Defeat,def3,144,12.3711,1.2843,0.1437,6.6601,1.4767,1.306,
2,Defeat,def3,250,0.633,0.2905,0.5157,0.2989,1.1558,1.0099,0.8164
3,Defeat,def3,507,2.587,0.5873,0.2194,4.9146,0.5692,3.9185,0.0738
