,Name,Min Value,id_1,id_2,,,,,,,,,,,,,,,
0,LOSS_13_hab3,11.88800164,Resilient_hab.db,51,,,,,,,,,,,,,,,
1,LOSS_13_hab3,14.0973239,Resilient_hab.db,40,,,,,,,,,,,,,,,
2,LOSS_13_hab3,14.15050208,Resilient_hab.db,67,,,,,,,,,,,,,,,
3,LOSS_13_def2,4.298933997,Control_hab_FINAL.db,62,,,,,,,,,,,,,,,
4,LOSS_13_def2,4.535490902,Control_hab_FINAL.db,34,,,,,,,,,,,,,,,
5,LOSS_13_def2,6.30694812,Resilient_hab_FAIL.db,18,,,,,,,,,,,,,,,
6,LOSS_14_hab3,11.14718728,Resilient_hab.db,51,,,,,,,,,,,,,,,
7,LOSS_14_hab3,13.89953935,Resilient_hab.db,24,,,,,,,,,,,,,,,
8,LOSS_14_hab3,16.06153906,Resilient_def.db,0,,,,,,,,,,,,,,,
9,LOSS_14_def2,8.542998099,Resilient_hab.db,51,,,,,,,,,,,,,,,
10,LOSS_14_def2,11.52523294,Resilient_def.db,0,,,,,,,,,,,,,,,
11,LOSS_14_def2,11.6769979,Resilient_hab.db,40,,,,,,,,,,,,,,,
12,LOSS_15_hab3,14.82448655,Resilient_hab.db,51,,,,,,,,,,,,,,,
13,LOSS_15_hab3,15.56289565,Resilient_hab.db,40,,,,,,,,,,,,,,,
14,LOSS_15_hab3,16.4366565,Resilient_def.db,0,,,,,,,,,,,,,,,
15,LOSS_15_def2,11.0999527,Resilient_hab.db,51,,,,,,,,,,,,,,,
16,LOSS_15_def2,11.6852894,Resilient_hab.db,24,,,,,,,,,,,,,,,
17,LOSS_15_def2,12.66190041,Resilient_hab.db,40,,,,,,,,,,,,,,,
18,LOSS_16_hab3,7.516554819,Resilient_hab.db,59,,,,,,,,,,,,,,,
19,LOSS_16_hab3,8.16443575,Resilient_hab.db,40,,,,,,,,,,,,,,,
20,LOSS_16_hab3,8.501453379,Resilient_hab.db,67,,,,,,,,,,,,,,,
21,LOSS_16_def2,9.939134276,Resilient_hab.db,51,,,,,,,,,,,,,,,
22,LOSS_16_def2,12.28287799,Susceptible_def.db,2,,,,,,,,,,,,,,,
23,LOSS_16_def2,13.047702,Resilient_def.db,0,,,,,,,,,,,,,,,
24,LOSS_17_hab3,9.991365022,Resilient_hab.db,67,,,,,,,,,,,,,,,
25,LOSS_17_hab3,10.33274927,avg_mouse_fit.db,31,,,,,,,,,,,,,,,
26,LOSS_17_hab3,10.54660381,avg_mouse_fit.db,7,,,,,,,,,,,,,,,
27,LOSS_17_def2,6.958618271,Susceptible_def.db,2,,,,,,,,,,,,,,,
28,LOSS_17_def2,7.711195893,Resilient_hab.db,58,,,,,,,,,,,,,,,
29,LOSS_17_def2,9.105596098,Resilient_hab.db,53,,,,,,,,,,,,,,,
30,LOSS_18_hab3,2.963607757,Resilient_hab_FAIL.db,18,,,,,,,,,,,,,,,
31,LOSS_18_hab3,3.859679045,avg_mouse_fit.db,7,,,,,,,,,,,,,,,
32,LOSS_18_hab3,3.929170508,Control_hab_FINAL.db,62,,,,,,,,,,,,,,,
33,LOSS_18_def2,5.498350428,Resilient_hab.db,24,,,,,,,,,,,,,,,
34,LOSS_18_def2,7.250524124,Resilient_hab.db,83,,,,,,,,,,,,,,,
35,LOSS_18_def2,7.719488896,Control_hab_FINAL.db,34,,,,,,,,,,,,,,,
36,LOSS_19_hab3,3.585350118,Resilient_hab.db,24,,,,,,,,,,,,,,,
37,LOSS_19_hab3,4.545758479,Control_hab_FINAL.db,34,,,,,,,,,,,,,,,
38,LOSS_19_hab3,5.170998925,Control_hab_FINAL.db,62,,,,,,,,,,,,,,,
39,LOSS_19_def2,5.39443252,avg_mouse_fit.db,7,,,,,,,,,,,,,,,
40,LOSS_19_def2,6.192134012,Resilient_hab.db,24,,,,,,,,,,,,,,,
41,LOSS_19_def2,7.081312405,Resilient_hab.db,37,,,,,,,,,,,,,,,
42,LOSS_20_hab3,1.343337277,Control_hab_FINAL.db,62,,,,,,,,,,,,,,,
43,LOSS_20_hab3,2.287159427,Resilient_hab_FAIL.db,18,,,,,,,,,,,,,,,
44,LOSS_20_hab3,2.497670313,Control_hab_FINAL.db,34,,,,,,,,,,,,,,,
45,LOSS_20_def2,0.508551202,avg_mouse_fit.db,30,,,,,,,,,,,,,,,
46,LOSS_20_def2,2.424230773,Resilient_hab_FAIL.db,75,,,,,,,,,,,,,,,
47,LOSS_20_def2,2.569736212,Susceptible_hab_FINAL.db,92,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,Name,Min Value,id_1,id_2,Z score,p val,param_id_threshold,param_sensory_prec_slope,param_k_shelter,param_k_threat,param_delta_stay,metric_entropy,metric_n_ch_co,metric_n_co_ch,metric_n_co_sh,metric_n_sh_co,metric_t_investigating,metric_t_shelter,metric_laziness
