,Column,Min Value,id_1,id_2,,Column,Min Loss,id_1 (Database),id_2 (ID)
0,LOSS_13_def1,1.707814989,Resilient_def.db,78,,LOSS_13_def1,1.7078,Resilient_def.db,78
1,LOSS_13_def1,2.884232609,Resilient_def.db,55,,LOSS_13_def3,4.4888,Resilient_hab_FAIL.db,18
2,LOSS_13_def1,2.964941895,Resilient_def.db,73,,LOSS_14_def1,4.4658,Resilient_def.db,55
3,LOSS_13_def3,4.488864833,Resilient_hab_FAIL.db,18,,LOSS_14_def3,5.6752,Resilient_hab_FAIL.db,70
4,LOSS_13_def3,5.676588986,Control_hab_FINAL.db,2,,LOSS_15_def1,1.8364,Resilient_def.db,14
5,LOSS_13_def3,5.935992403,Resilient_hab_FAIL.db,75,,LOSS_15_def3,8.8601,Resilient_def.db,42
6,LOSS_14_def1,4.266520465,Resilient_def.db,78,,LOSS_16_def1,3.1992,Resilient_hab_FAIL.db,72
7,LOSS_14_def1,4.465850172,Resilient_def.db,55,,LOSS_16_def3,1.7787,Resilient_def.db,73
8,LOSS_14_def1,4.885082037,Resilient_def.db,73,,LOSS_17_def1,3.4609,Resilient_hab.db,67
9,LOSS_14_def3,5.675221158,Resilient_hab_FAIL.db,70,,LOSS_17_def3,3.3115,Resilient_hab.db,59
10,LOSS_14_def3,6.201729216,Resilient_hab.db,37,,LOSS_18_def1,11.245,Resilient_def.db,57
11,LOSS_14_def3,6.330998519,Resilient_hab_FAIL.db,75,,LOSS_18_def3,9.533,Control_hab_FINAL.db,34
12,LOSS_15_def1,1.836464787,Resilient_def.db,14,,LOSS_19_def1,2.3019,Control_hab_FINAL.db,62
13,LOSS_15_def1,2.568631283,Resilient_def.db,82,,LOSS_19_def3,35.7736,Resilient_def.db,77
14,LOSS_15_def1,2.642834153,Susceptible_def.db,2,,LOSS_20_def1,2.5581,Susceptible_hab_FINAL.db,5
15,LOSS_15_def3,8.809132993,Resilient_def.db,78,,LOSS_20_def3,1.8937,Susceptible_hab_FINAL.db,24
16,LOSS_15_def3,8.860138911,Resilient_def.db,42,,LOSS_21_def1,2.9964,Resilient_hab.db,20
17,LOSS_15_def3,9.613882279,Resilient_def.db,85,,LOSS_21_def3,3.1552,Susceptible_hab_FINAL.db,22
18,LOSS_16_def1,3.199251517,Resilient_hab_FAIL.db,72,,LOSS_22_def1,2.8244,Control_hab_FINAL.db,34
19,LOSS_16_def1,3.258867406,Resilient_hab_FAIL.db,84,,LOSS_22_def3,4.442,Resilient_hab_FAIL.db,25
20,LOSS_16_def1,3.477518218,Susceptible_hab_FINAL.db,49,,LOSS_23_def1,2.808,Resilient_hab_FAIL.db,75
21,LOSS_16_def3,1.778721561,Resilient_def.db,73,,LOSS_23_def3,9.383,Resilient_hab.db,31
