,Column,Min Value,id_1,id_2,,Target,id_1 (Database),id_2,Loss,Conflict Resolution Note,,,,
0,LOSS_13_def1,1.146872984,Resilient_def.db,78,,13_def1,Resilient_def.db,78,1.1469,Top choice.,,,,
1,LOSS_13_def1,1.764358522,Resilient_def.db,55,,13_def3,Resilient_hab_FAIL.db,18,2.3003,Top choice.,,,,
2,LOSS_13_def1,1.881432247,Resilient_def.db,73,,14_def1,Resilient_def.db,55,3.1273,78 was taken by 13_def1.,,,,
3,LOSS_13_def3,2.300293838,Resilient_hab_FAIL.db,18,,14_def3,Resilient_hab_FAIL.db,75,2.8713,Top choice.,,,,
4,LOSS_13_def3,3.142003342,Resilient_hab_FAIL.db,75,,15_def1,Resilient_def.db,14,1.3467,Top choice.,,,Resilient_def.db,14
5,LOSS_13_def3,3.257442826,Control_hab_FINAL.db,34,,15_def3,Resilient_def.db,42,6.3457,78 was taken; opted for 42.,,,,
6,LOSS_14_def1,2.671216915,Resilient_def.db,78,,16_def1,Susceptible_hab_FINAL.db,49,2.348,Top choice.,,,,
7,LOSS_14_def1,3.127273148,Resilient_def.db,55,,16_def3,Resilient_hab.db,51,1.0974,Top choice.,,,,
8,LOSS_14_def1,3.180856274,Resilient_def.db,73,,17_def1,Resilient_hab.db,67,2.2025,Saved 59 for def3.,,,,
9,LOSS_14_def3,2.871298232,Resilient_hab_FAIL.db,75,,17_def3,Resilient_hab.db,59,2.1103,Top choice.,,,,
10,LOSS_14_def3,3.587499477,Resilient_hab_FAIL.db,18,,18_def1,Resilient_def.db,57,7.4037,42 was taken by 15_def3.,,,,
11,LOSS_14_def3,3.642056359,Resilient_def.db,45,,18_def3,Control_hab_FINAL.db,34,6.381,18 was taken by 13_def3.,,,,
12,LOSS_15_def1,1.346738516,Resilient_def.db,14,,19_def1,Control_hab_FINAL.db,62,1.3093,Top choice.,,,,
13,LOSS_15_def1,1.833783011,Resilient_def.db,82,,19_def3,Resilient_def.db,28,24.9872,"All other options (42, 57) taken.",,,,
14,LOSS_15_def1,1.914484953,Susceptible_def.db,2,,20_def1,Susceptible_hab_FINAL.db,5,1.8026,Top choice.,,,Susceptible_hab_FINAL.db,5
15,LOSS_15_def3,5.921047019,Resilient_def.db,78,,20_def3,Susceptible_hab_FINAL.db,24,1.2768,Top choice.,,,,
16,LOSS_15_def3,6.345720879,Resilient_def.db,42,,21_def1,Resilient_hab.db,20,1.8741,Top choice.,,,,
17,LOSS_15_def3,6.35464593,Resilient_def.db,85,,21_def3,Susceptible_hab_FINAL.db,22,2.3349,Top choice.,,,,
18,LOSS_16_def1,2.347968356,Susceptible_hab_FINAL.db,49,,22_def1,Control_hab_FINAL.db,62,2.1188,DUPLICATE ERROR (See Fix below),,,,
19,LOSS_16_def1,2.421875654,Resilient_hab_FAIL.db,72,,22_def3,Resilient_hab_FAIL.db,25,3.0018,,,,,
20,LOSS_16_def1,2.622616864,Resilient_hab_FAIL.db,78,,23_def1,Resilient_hab_FAIL.db,58,2.8364,75 and 18 taken.,,,,
21,LOSS_16_def3,1.097387662,Resilient_hab.db,51,,23_def3,Resilient_hab.db,17,5.9997,75 taken.,,,,
22,LOSS_16_def3,1.287001069,Resilient_def.db,73,,24_def1,calibration.db,33,2.7163,Saved 27 for 25_def3.,,,,
23,LOSS_16_def3,1.704106621,Resilient_def.db,77,,24_def3,Resilient_def.db,77,6.558,Top choice.,,,,
24,LOSS_17_def1,2.024503264,Resilient_hab.db,59,,25_def1,Control_hab_FINAL.db,51,1.6646,78 and 33 taken.,,,,
25,LOSS_17_def1,2.2024509,Resilient_hab.db,67,,25_def3,Control_hab_FINAL.db,27,0.9424,Best choice.,,,,
26,LOSS_17_def1,2.36542177,Resilient_hab.db,40,,26_def1,Resilient_hab_FAIL.db,84,7.7945,75 and 20 taken.,,,,
27,LOSS_17_def3,2.110293994,Resilient_hab.db,59,,26_def3,Resilient_def.db,26,3.6624,Top choice.,,,,
28,LOSS_17_def3,4.671563352,Resilient_hab.db,40,,,,,,,,,,
29,LOSS_17_def3,5.371821901,Resilient_hab.db,67,,,,,,,,,,
30,LOSS_18_def1,4.979339762,Resilient_def.db,42,,,,,,,,,,
31,LOSS_18_def1,7.403651515,Resilient_def.db,57,,,,Target,Loss,SD,,,,
32,LOSS_18_def1,7.904788022,Resilient_hab.db,24,,,,13_def1,1.1469,0.391049869,,,,
33,LOSS_18_def3,6.236835971,Resilient_hab_FAIL.db,18,,,,13_def3,2.3003,0.553811039,,,,
34,LOSS_18_def3,6.381002158,Control_hab_FINAL.db,34,,,,14_def1,3.1273,0.645734724,,,,
35,LOSS_18_def3,6.550474046,Resilient_def.db,42,,,,14_def3,2.8713,0.618740656,,,,
36,LOSS_19_def1,1.309307737,Control_hab_FINAL.db,62,,,,15_def1,1.3467,0.423745206,,,,
