,Column,Min Value,id_1,id_2,,Target Profile,Min Value (Loss),id_1 (Database),id_2 (Trial),
0,LOSS_13_def1,1.707814989,Resilient_def.db,78,,LOSS_19_def3,35.77360968,Resilient_def.db,77,weird behavior
1,LOSS_13_def1,2.884232609,Resilient_def.db,55,,LOSS_18_def1,11.24507865,Resilient_def.db,57,
2,LOSS_13_def1,2.964941895,Resilient_def.db,73,,LOSS_18_def3,9.533012008,Control_hab_FINAL.db,34,
3,LOSS_13_def3,4.488864833,Resilient_hab_FAIL.db,18,,LOSS_15_def3,8.860138911,Resilient_def.db,42,
4,LOSS_13_def3,5.676588986,Control_hab_FINAL.db,2,,LOSS_14_def3,5.675221158,Resilient_hab_FAIL.db,70,
5,LOSS_13_def3,5.935992403,Resilient_hab_FAIL.db,75,,LOSS_13_def3,4.488864833,Resilient_hab_FAIL.db,18,
6,LOSS_14_def1,4.266520465,Resilient_def.db,78,,LOSS_14_def1,4.465850172,Resilient_def.db,55,
7,LOSS_14_def1,4.465850172,Resilient_def.db,55,,LOSS_17_def1,3.460993904,Resilient_hab.db,67,
8,LOSS_14_def1,4.885082037,Resilient_def.db,73,,LOSS_17_def3,3.31159327,Resilient_hab.db,59,
9,LOSS_14_def3,5.675221158,Resilient_hab_FAIL.db,70,,LOSS_16_def1,3.199251517,Resilient_hab_FAIL.db,72,
10,LOSS_14_def3,6.201729216,Resilient_hab.db,37,,LOSS_20_def1,2.558160011,Susceptible_hab_FINAL.db,5,
11,LOSS_14_def3,6.330998519,Resilient_hab_FAIL.db,75,,LOSS_19_def1,2.301956058,Control_hab_FINAL.db,62,
12,LOSS_15_def1,1.836464787,Resilient_def.db,14,,LOSS_20_def3,1.893746922,Susceptible_hab_FINAL.db,24,
13,LOSS_15_def1,2.568631283,Resilient_def.db,82,,LOSS_15_def1,1.836464787,Resilient_def.db,14,
14,LOSS_15_def1,2.642834153,Susceptible_def.db,2,,LOSS_16_def3,1.778721561,Resilient_def.db,73,
15,LOSS_15_def3,8.809132993,Resilient_def.db,78,,LOSS_13_def1,1.707814989,Resilient_def.db,78,
16,LOSS_15_def3,8.860138911,Resilient_def.db,42,,,,,,
17,LOSS_15_def3,9.613882279,Resilient_def.db,85,,,,,,
18,LOSS_16_def1,3.199251517,Resilient_hab_FAIL.db,72,,,,,,
19,LOSS_16_def1,3.258867406,Resilient_hab_FAIL.db,84,,,,,,
20,LOSS_16_def1,3.477518218,Susceptible_hab_FINAL.db,49,,,,,,
21,LOSS_16_def3,1.778721561,Resilient_def.db,73,,,,,,
22,LOSS_16_def3,2.266599683,Resilient_hab.db,51,,,,,,
23,LOSS_16_def3,2.506115659,Resilient_def.db,55,,,,,,
24,LOSS_17_def1,3.460993904,Resilient_hab.db,67,,,,,,
25,LOSS_17_def1,3.723752694,Resilient_hab.db,59,,,,,,
26,LOSS_17_def1,3.947388421,Resilient_hab.db,40,,,,,,
27,LOSS_17_def3,3.31159327,Resilient_hab.db,59,,,,,,
28,LOSS_17_def3,8.192010696,Resilient_hab.db,67,,,,,,
29,LOSS_17_def3,8.464768108,Resilient_hab.db,40,,,,,,
30,LOSS_18_def1,7.168605925,Resilient_def.db,42,,,,,,
31,LOSS_18_def1,11.24507865,Resilient_def.db,57,,,,,,
32,LOSS_18_def1,11.25735807,Resilient_hab.db,24,,,,,,
33,LOSS_18_def3,8.842754103,Resilient_hab_FAIL.db,18,,,,,,
34,LOSS_18_def3,9.533012008,Control_hab_FINAL.db,34,,,,,,
35,LOSS_18_def3,10.31948446,Resilient_def.db,42,,,,,,
36,LOSS_19_def1,2.301956058,Control_hab_FINAL.db,62,,,,,,
37,LOSS_19_def1,3.339571479,Resilient_hab_FAIL.db,18,,,,,,
38,LOSS_19_def1,3.349008353,Susceptible_hab_FINAL.db,40,,,,,,
39,LOSS_19_def3,32.43838184,Resilient_def.db,42,,,,,,
40,LOSS_19_def3,35.77360968,Resilient_def.db,77,,,,,,
41,LOSS_19_def3,39.40020539,Resilient_def.db,57,,,,,,
42,LOSS_20_def1,2.558160011,Susceptible_hab_FINAL.db,5,,,,,,
43,LOSS_20_def1,2.946028379,Resilient_hab_FAIL.db,58,,,,,,
44,LOSS_20_def1,3.398325308,Susceptible_hab_FINAL.db,86,,,,,,
45,LOSS_20_def3,1.893746922,Susceptible_hab_FINAL.db,24,,,,,,
46,LOSS_20_def3,2.452140333,Susceptible_hab_FINAL.db,49,,,,,,
47,LOSS_20_def3,2.969476684,Susceptible_hab_FINAL.db,74,,,,,,
