source_db,trial_id,LOSS_13_def1,LOSS_13_def3,LOSS_14_def1,LOSS_14_def3,LOSS_15_def1,LOSS_15_def3,LOSS_16_def1,LOSS_16_def3,LOSS_17_def1,LOSS_17_def3,LOSS_18_def1,LOSS_18_def3,LOSS_19_def1,LOSS_19_def3,LOSS_20_def1,LOSS_20_def3,LOSS_21_def1,LOSS_21_def3,LOSS_22_def1,LOSS_22_def3,LOSS_23_def1,LOSS_23_def3,LOSS_24_def1,LOSS_24_def3,LOSS_25_def1,LOSS_25_def3,LOSS_26_def1,LOSS_26_def3,has_laziness,param_id_threshold,param_k_shelter,param_k_threat,param_delta_stay,param_sensory_prec_slope,metric_entropy,metric_laziness,metric_n_ch_co,metric_n_co_ch,metric_n_co_sh,metric_n_sh_co,metric_t_investigating,metric_t_shelter
Susceptible_def.db,0,48.37335082,23.48234071,50.19669826,32.99422192,90.26488476,47.54234703,41.97071458,52.98199492,49.80708168,61.33240541,37.04530458,31.32057053,13.50561308,61.39740702,20.52614383,29.34571561,36.5984299,21.13664305,23.40696825,30.09450011,24.9860326,36.92659962,52.49022728,55.61465217,62.3642436,53.42102384,43.52730981,109.8274888,TRUE,0.05,5,0.1,1.5,,4.58404276,0.6025,22,23,10,11,0.2985,0.242
Susceptible_def.db,1,20.79071477,57.85297338,22.66277804,40.63627396,5.588547609,31.33559232,52.80307317,18.0211715,22.85314232,21.76129355,42.62864366,50.7239879,66.89579149,58.66604733,69.67667468,67.36938662,56.22695132,76.86429256,57.10945714,56.55268908,58.72884253,49.29865792,67.85770958,25.06319643,55.46786495,59.01195234,44.19986033,5.172463148,TRUE,0.015103727,6.704538976,0.600423274,2.211823493,,0.785968796,0.9485,1,1,1,1,0.079,0.907
Susceptible_def.db,2,7.936870506,34.50228928,9.357363805,21.65209769,1.914484953,15.90961746,33.39696245,6.528936188,9.609461916,10.90746646,24.30882481,30.48780899,40.33262219,43.10167389,44.49217176,44.16673587,36.87626569,51.94437552,32.56070569,33.90092969,35.89569505,30.6662281,48.43782031,14.20941534,38.99623459,40.9676872,27.80614599,5.781137928,TRUE,0.367263922,7.521287655,1.110292279,2.016434895,,1.930290098,0.9115,5,5,1,2,0.0675,0.725
Susceptible_def.db,3,41.23649024,17.25374148,45.55586045,23.95700506,77.20610055,38.05212086,15.54861371,51.03529766,35.95295441,38.66812932,39.83008036,28.78071266,18.65345157,76.82057809,9.248608039,7.789730632,13.91348012,4.959442528,25.14145928,17.64333528,13.03989572,24.08315457,16.95711037,56.09430524,23.41488516,17.38643632,21.42245122,97.77105586,TRUE,0.24837696,2.04886881,0.109663876,2.91301036,,4.160220789,0.6655,12,13,4,5,0.5485,0.0865
Susceptible_def.db,4,57.93328948,29.81072722,62.66990729,40.22108793,101.9613775,54.64158713,34.49680201,68.43975363,56.17025753,62.22838124,52.45183206,40.3828648,26.4814614,85.60438965,20.93364394,21.19529239,31.84574666,14.79933085,36.27373862,31.83707227,26.60866204,41.54576244,39.20883325,70.43903374,48.97889462,40.13045344,39.85372552,122.9418294,TRUE,0.423678918,2.195991293,0.169479186,0.894063745,,4.648938805,0.5685,14,15,7,8,0.5035,0.126
Susceptible_def.db,5,85.29888186,49.32591261,86.06719573,64.4664828,136.6972541,81.34536888,75.78725232,90.17218211,88.36810937,101.9902291,63.58895148,55.7274542,36.87232384,80.81184858,44.55881364,57.37099306,65.75537405,43.01660766,50.54581107,58.61147757,51.71030322,64.79032481,84.8239027,86.3124603,100.9571295,89.39381683,74.4177684,156.4844645,TRUE,0.129353805,4.080869173,0.098928851,0.646955372,,4.673123813,0.5175,26,26,21,21,0.3565,0.228
Susceptible_hab_FINAL.db,0,39.69546701,26.23719437,43.48439854,24.98004102,57.55996511,36.20861619,9.178343214,48.8576828,27.72291522,22.16256215,47.68873769,37.96533848,39.46937135,90.72848656,19.6924646,12.99768304,9.954145581,17.50853211,38.40396092,22.2469933,19.30591228,21.82002703,3.268334889,58.01778583,2.861865618,2.811220197,15.02948215,75.57004814,TRUE,0.7,0.36,0.45,1.37,0.64,3.087943081,0.854,5,6,0,1,0.6635,0.043
Susceptible_hab_FINAL.db,1,30.16113971,11.60265696,34.19419089,15.47102823,60.4427788,27.97543626,7.604293402,39.05969114,24.17288977,26.01657987,32.21821835,22.97611242,14.42455447,70.63304363,5.41435553,3.256209774,7.704207813,3.192354346,18.3964366,11.06122322,7.592522475,16.93143794,9.70290259,46.58945644,13.27282755,8.878328375,13.87954344,80.35054669,TRUE,0.415919256,0.889763038,0.263176461,1.280050998,0.72705206,4.236336821,0.722,11,12,1,2,0.5005,0.0915
Susceptible_hab_FINAL.db,2,41.86660572,17.04314862,45.46062092,24.66254341,81.59660509,40.52003167,23.51972459,49.73795493,38.64069369,46.38831619,38.43432468,30.17465248,11.52338699,75.91085953,11.35406173,14.04860009,22.68600832,11.05939422,19.25540813,19.6931766,15.51802606,29.40312153,30.56491808,58.44084339,36.88093357,29.73616453,31.20000088,104.6721136,TRUE,0.542912904,1.047570346,0.420270153,1.834839525,0.692994678,4.386195634,0.6575,18,19,0,1,0.383,0.06
Susceptible_hab_FINAL.db,3,31.26877502,46.67375439,31.26810165,37.13381006,28.42606895,28.14872646,34.2139011,37.36833399,27.86963167,24.98742268,47.07343567,47.61086104,60.61289852,78.74925955,53.92439526,47.45212702,48.52789388,62.44222842,44.16940555,37.45273954,46.2176189,47.55564977,45.6157751,48.51430354,34.41554008,39.42803645,39.09981242,39.5921245,TRUE,0.732610529,0.348182424,0.797374468,2.689046121,0.414749595,0.364395641,0.9955,0,0,0,1,0,0.06
