mouse_number,phase,t_shelter,t_investigating,n_sh_co,n_co_sh,n_co_ch,n_ch_co,heatmap_entropy,laziness,AFTER VS BEFORE,,,
13,hab3,0.6485,0.1405,23,23,6,6,4.132956915,0.8295,t shelter,t investigating,,
13,def2,0.312,0.101,13,13,15,14,4.721737822,0.7955,-0.3365,-0.0395,,c
14,hab3,0.562,0.044,18,18,12,12,3.909343409,0.856,,,,
14,def2,0.5385,0.053,14,14,8,8,3.818612692,0.853,-0.0235,0.009,,resilient
15,hab3,0.5395,0.1345,22,22,3,3,3.864439473,0.846,,,,
15,def2,0.4255,0.1075,17,17,8,7,4.179584098,0.847,-0.114,-0.027,,c
16,hab3,0.359,0.1925,8,8,7,7,3.919248356,0.87,,,,
16,def2,0.6935,0.0455,18,17,10,9,2.939803933,0.858,0.3345,-0.147,,susceptibl
17,hab3,0.404,0.279,19,19,9,8,4.35692005,0.8315,,,,
17,def2,0.664,0.062,15,15,5,5,3.364352495,0.879,0.26,-0.217,,susceptible
18,hab3,0.306,0.218,13,14,14,14,4.994446817,0.7835,,,,
18,def2,0.407,0.1615,15,15,11,10,4.643901027,0.814,0.101,-0.0565,,c
19,hab3,0.363,0.14,7,8,13,13,4.720152234,0.81,,,,
19,def2,0.474,0.1875,18,19,12,12,4.61703006,0.8035,0.111,0.0475,,eh
20,hab3,0.293,0.1745,3,3,16,15,4.73309349,0.753,,,,
20,def2,0.1705,0.3455,5,5,10,9,5.151318048,0.781,-0.1225,0.171,,c
,,,,,,,,,,,,,
overall avg,,0.4475,0.14915625,14.25,14.375,9.9375,9.5,4.254183807,0.82565625,,,,
overall std,,0.144982219,0.081916825,5.6844085,5.611093922,3.56140334,3.4278273,0.582258181,0.034709832,,,,
,,,,,,,,,,,,,
control avg hab3,,0.44675,0.166875,15.3,15.5,9.75,9.5,4.431234174,0.803,,,,
control avg def2,,0.32875,0.178875,12.5,12.5,11,10,4.674135249,0.809375,,,,
,,,,,,,,,,,,,From one of the resilient hab fits:
resilient hab3,,0.562,0.044,18,18,12,12,3.909343409,0.856,,,,entropy 2.5549807419184387
resilient def 2,,0.5385,0.053,14,14,8,8,3.818612692,0.853,,,,
,,,,,,,,,,,,,laziness 0.8475
sus hab3,,0.3815,0.23575,13.5,13.5,8,7.5,4.138084203,0.85075,,,,
sus def 2,,0.67875,0.05375,16.5,16,7.5,7,3.152078214,0.8685,,,,n_ch_co 10.0
,,,,,,,,,,,,,
delta,,0.02725,-0.11925,6.5,5,1.5,1,2.56,0.021,,,,n_co_ch 11.0
z,,0.187954083,-1.455744897,1.143478693,0.891091839,0.421182286,0.291729983,4.396675021,0.605015893,,,,
zsq,,0.035326737,2.119193205,1.307543521,0.794044666,0.177394518,0.085106383,19.33075124,0.366044231,,,,n_co_sh 5.0
w*zsq,,0.070653475,4.23838641,0.653771761,0.397022333,0.088697259,0.042553191,9.66537562,0.366044231,,,,
,,,,,,,,,,,,,n_sh_co 6.0
total loss,,15.52250428,0.901096717,,,0.748331477,,,,,,,
SD dev,,1.438633809,0.949261143,,,,,,,,,,t_investigating 0.173
,,,,,,,,,,,,,
"random walk: Test simulation complete, time taken: 3.233612537384033s",,,,,,,,,,,,,t_shelter 0.6515
t_shelter : 0.0673895,,,,,,,,,,,,,
t_investigating : 0.12103749999999999,,,,,,,,,,,,,
n_sh_co : 26.899,,,,,,,,,,,,,
n_co_sh : 25.949,,,,,,,,,,,,,
n_ch_co : 19.537,,,,,,,,,,,,,
n_co_ch : 20.065,,,,,,,,,,,,,
entropy : 5.6449032011331575,,,,,,,,,,,,,
laziness : 0.3430955,,,,,,,,,,,,,
