mouse_number,phase,t_shelter,t_investigating,n_sh_co,n_co_sh,n_co_ch,n_ch_co,heatmap_entropy,laziness
21,pre-defeat,0.241,0.483,11,11,10,10,4.167765163,0.8145
21,post-defeat,0.135,0.434,12,12,11,10,4.72916643,0.7305
22,pre-defeat,0.2155,0.139,12,13,15,15,5.05205629,0.7885
22,post-defeat,0.142,0.2575,13,13,10,10,5.006154148,0.792
23,pre-defeat,0.1945,0.3365,12,12,12,12,4.903375069,0.786
23,post-defeat,0.3255,0.3865,18,17,13,12,4.532798358,0.8395
24,pre-defeat,0.09,0.559,10,9,7,6,3.979085758,0.8335
24,post-defeat,0.6385,0.1175,22,22,9,9,4.007712686,0.839
25,pre-defeat,0.127,0.5135,5,4,5,4,4.585052569,0.8605
25,post-defeat,0.127,0.517,4,4,6,5,4.527635349,0.83
26,pre-defeat,0.291,0.3945,14,15,7,7,4.48366893,0.825
26,post-defeat,0.824,0.057,15,15,2,2,2.535852912,0.9355
