mouse_number,day_number,t_shelter,t_investigating,n_sh_co,n_co_sh,n_co_ch,n_ch_co,heatmap_entropy,n_flights_1.5,n_flights_path3.5,n_flights_path3.0,n_flights_path2.5,n_flights_path4.0,n_flights_path4.5,n_flights_path5.0
13,8,0.074,0.1295,9,9,8,8,4.157469322,0,0,0,0,0,0,0
13,9,0.0415,0.1005,11,11,15,14,4.724650377,4,4,4,4,4,4,4
13,10,0.163,0.288,12,12,13,14,4.657598513,3,4,4,4,4,4,4
14,8,0.444,0.101,14,14,9,9,3.721134826,3,5,5,5,5,5,5
14,9,0.096,0.0515,21,21,8,8,3.898151092,0,0,0,0,0,0,0
14,10,0.2805,0.2425,11,11,12,12,4.203668673,3,3,3,3,3,3,3
15,8,0.6365,0.082,11,11,4,4,2.654378349,1,1,1,1,1,1,1
15,9,0.0535,0.0255,11,11,4,4,3.055271598,0,1,1,1,1,1,1
15,10,0.271,0.134,15,16,7,7,4.348185466,0,0,0,0,0,0,0
16,8,0.1315,0.3875,8,7,7,6,4.481068356,0,1,1,1,1,1,1
16,9,0.6295,0.046,16,15,10,9,2.910551863,2,4,4,4,4,4,4
16,10,0.578,0.1145,11,10,11,10,2.820292945,3,4,4,4,4,4,4
17,8,0.077,0.224,7,7,8,9,4.061292126,1,1,1,1,1,1,1
17,9,0.0745,0.063,11,11,5,5,3.337558084,1,1,1,1,1,1,1
17,10,0.3715,0.2905,7,7,5,6,3.733397769,3,3,3,3,3,3,3
18,8,0.1035,0.144,22,22,12,12,4.594903488,4,4,4,4,4,4,4
18,9,0.075,0.1595,13,13,11,10,4.661443067,3,4,4,4,4,4,4
18,10,0.167,0.216,22,22,12,11,5.031340611,3,3,3,3,3,3,3
19,8,0.0915,0.2095,10,10,18,18,5.219366938,0,1,1,1,1,1,1
19,9,0.17,0.1885,18,19,12,12,4.613973714,2,3,3,3,3,3,3
19,10,0.153,0.045,23,23,12,11,3.852957399,4,4,4,4,4,4,4
20,8,0.076,0.349,12,12,13,13,4.805590757,6,7,7,7,7,7,7
20,9,0.0815,0.333,5,5,10,9,5.162725799,1,1,1,1,1,1,1
20,10,0.081,0.3935,7,7,8,8,4.843526941,1,2,2,2,2,2,2
Average,10,0.218409091,0.185818182,13.04545455,13,9.590909091,9.409090909,4.121289926,,,,,,,
Std,10,0.18642642,0.114025271,5.191577731,5.308655026,3.393296747,3.33928532,0.76394649,,,,,,,
