mouse_number,day_number,t_shelter,t_investigating,n_sh_co,n_co_sh,n_co_ch,n_ch_co,heatmap_entropy,n_flights_1.0,n_flights_1.5,n_flights_3.0,n_flights_path3.0,n_flights_path2.5,n_flights_path4.0
13,8,0.075,0.118,7,7,8,8,4.142942393416554,0,0,0,0,0,0
13,9,0.042,0.092,9,9,14,13,4.7006989314993115,2,3,3,3,3,3
13,10,0.158,0.262,11,11,12,13,4.667566467862184,3,4,7,7,7,7
14,8,0.441,0.089,13,13,9,9,3.732563580921546,3,5,7,5,5,5
14,9,0.095,0.046,16,16,8,8,3.8834180070087103,0,0,2,2,2,2
14,10,0.283,0.225,11,11,12,12,4.180290425680429,3,3,4,4,4,4
15,8,0.634,0.072,8,8,4,4,2.6700032603944215,0,0,3,2,2,2
15,9,0.051,0.022,8,8,4,4,3.038684983268662,0,0,1,1,1,1
15,10,0.27,0.12,12,13,7,7,4.349813278939062,0,0,5,3,3,3
16,8,0.129,0.359,7,6,7,6,4.47177537968664,1,3,4,3,3,3
16,9,0.63,0.04,15,14,10,9,2.901747249835918,3,3,4,4,4,4
16,10,0.578,0.102,10,9,11,10,2.8289696993948787,4,6,8,8,8,8
17,8,0.076,0.209,5,5,8,9,4.065340841581855,0,0,1,1,1,1
17,9,0.073,0.06,7,7,5,5,3.3306475137305585,1,1,1,1,1,1
17,10,0.37,0.283,7,7,5,6,3.7162298822930273,3,3,5,3,3,3
18,8,0.1,0.126,17,17,11,11,4.605161297192178,4,4,5,5,5,5
18,9,0.073,0.147,12,12,11,10,4.671304159058017,4,4,5,5,5,5
18,10,0.164,0.202,20,20,10,9,5.035967450084197,3,3,5,5,5,5
19,8,0.09,0.198,8,8,18,18,5.183933680845161,0,1,3,3,3,3
19,9,0.174,0.173,15,16,12,12,4.592223126806192,3,3,5,5,5,5
19,10,0.153,0.04,21,21,12,11,3.8516582797348606,4,4,4,4,4,4
20,8,0.074,0.322,12,12,13,13,4.8074209835312764,6,7,8,8,8,8
20,9,0.081,0.315,5,5,10,9,5.144363103987875,1,1,3,3,3,3
20,10,0.079,0.359,7,7,8,8,4.82655152761275,2,2,3,3,3,3
