mouse_number,day_number,t_shelter,t_investigating,n_sh_co,n_co_sh,n_co_ch,n_ch_co,heatmap_entropy,n_flights_1.5,n_flights_3.0,n_flights_path3.0,n_flights_path2.5,n_flights_path4.0
13,8,0.07425,0.1375,9,9,8,8,4.153642375439754,0,0,0,0,0
13,9,0.0425,0.107,14,14,15,14,4.724523371793866,0,4,2,2,2
13,10,0.16225,0.30775,12,12,13,14,4.662894375254155,0,3,3,3,3
14,8,0.444,0.107,14,14,9,9,3.7197626405293285,0,3,3,3,3
14,9,0.098,0.056,23,23,8,8,3.902050755245631,0,0,0,0,0
14,10,0.2815,0.25225,12,12,13,13,4.197312717124372,1,3,2,2,2
15,8,0.6355,0.08525,11,11,4,4,2.662965218716816,0,1,1,1,1
15,9,0.0515,0.02875,13,13,4,4,3.048611420767299,0,0,0,0,0
15,10,0.27125,0.1425,17,18,7,7,4.3461553968462665,0,0,0,0,0
16,8,0.13075,0.403,8,7,7,6,4.478893258456704,0,0,0,0,0
16,9,0.6285,0.0485,17,16,10,9,2.913902167507215,0,2,2,2,2
16,10,0.579,0.11975,11,10,11,10,2.8173926285715925,0,4,4,4,4
17,8,0.077,0.231,9,9,8,9,4.067068247568896,0,1,1,1,1
17,9,0.07425,0.06475,13,13,5,5,3.34285482056514,0,2,2,2,2
17,10,0.37275,0.297,8,8,5,6,3.7316610952762987,3,3,3,3,3
18,8,0.1045,0.15225,22,22,12,12,4.599999287766017,3,4,4,4,4
18,9,0.0765,0.164,14,14,11,10,4.657325446951039,0,3,3,3,3
18,10,0.16525,0.223,23,23,12,11,5.041906392558307,0,3,2,2,2
19,8,0.09075,0.21875,10,10,18,18,5.20994507258435,0,0,0,0,0
19,9,0.17275,0.19425,20,21,12,12,4.613828538843949,1,2,2,2,2
19,10,0.1535,0.0475,24,24,12,11,3.8458373960601846,3,4,4,4,4
20,8,0.07475,0.3675,12,12,13,13,4.814945679695706,0,6,5,5,5
20,9,0.0815,0.34475,6,6,10,9,5.159056617699755,0,1,1,1,1
20,10,0.0805,0.4175,7,7,8,8,4.845183488339994,0,1,0,0,0
