mouse_number,phase,t_shelter,t_investigating,n_sh_co,n_co_sh,n_co_ch,n_ch_co,heatmap_entropy,laziness,zeroed,,,,,,,,
13,pre-defeat,0.5015,0.126,9,9,8,8,4.157401889,0.8345,0.198678571,-0.164321429,-2,-1.928571429,-1.714285714,-1.571428571,-0.191420028,0.011357143,
13,post-defeat,0.2165,0.2755,14,14,13,14,4.679772779,0.7895,-0.149714286,0.026785714,-1.071428571,-1,3.5,4.785714286,0.465947259,-0.033964286,
14,pre-defeat,0.4895,0.104,13,13,9,9,3.746474719,0.8495,0.186678571,-0.186321429,2,2.071428571,-0.714285714,-0.571428571,-0.602347198,0.026357143,
14,post-defeat,0.3215,0.2595,11,11,12,12,4.166432251,0.826,-0.044714286,0.010785714,-4.071428571,-4,2.5,2.785714286,-0.047393269,0.002535714,
15,pre-defeat,0.688,0.0825,10,10,4,4,2.652491439,0.9215,0.385178571,-0.207821429,-1,-0.928571429,-5.714285714,-5.571428571,-1.696330478,0.098357143,
15,post-defeat,0.354,0.1315,15,16,7,7,4.345699479,0.8325,-0.012214286,-0.117214286,-0.071428571,1,-2.5,-2.214285714,0.131873959,0.009035714,
16,pre-defeat,0.1445,0.387,7,6,7,6,4.487010226,0.81,-0.158321429,0.096678571,-4,-4.928571429,-2.714285714,-3.571428571,0.138188309,-0.013142857,
16,post-defeat,0.6055,0.1115,11,10,11,10,2.828770281,0.8585,0.239285714,-0.137214286,-4.071428571,-5,1.5,0.785714286,-1.385055239,0.035035714,
17,pre-defeat,0.4405,0.2235,7,7,8,9,4.068416593,0.8595,0.137678571,-0.066821429,-4,-3.928571429,-1.714285714,-0.571428571,-0.280405324,0.036357143,
17,post-defeat,0.426,0.2915,8,8,5,6,3.74524117,0.8805,0.059785714,0.042785714,-7.071428571,-7,-4.5,-3.214285714,-0.46858435,0.057035714,
18,pre-defeat,0.4175,0.1405,22,22,13,13,4.564578899,0.8215,0.114678571,-0.149821429,11,11.07142857,3.285714286,3.428571429,0.215756982,-0.001642857,
18,post-defeat,0.317,0.206,22,22,12,11,5.024379947,0.7955,-0.049214286,-0.042714286,6.928571429,7,2.5,1.785714286,0.810554427,-0.027964286,
19,pre-defeat,0.2555,0.21,10,10,18,18,5.211984137,0.755,-0.047321429,-0.080321429,-1,-0.928571429,8.285714286,8.428571429,0.86316222,-0.068142857,
19,post-defeat,0.5945,0.046,39,39,14,13,4.006918493,0.824,0.228285714,-0.202714286,23.92857143,24,4.5,3.785714286,-0.206907027,0.000535714,
20,pre-defeat,0.1435,0.3655,12,12,13,13,4.824145152,0.7645,-0.159321429,0.075178571,1,1.071428571,3.285714286,3.428571429,0.475323235,-0.058642857,
20,post-defeat,0.1,0.391,7,7,8,8,4.857023003,0.7555,-0.266214286,0.142285714,-8.071428571,-8,-1.5,-1.214285714,0.643197483,-0.067964286,
21,pre-defeat,0.241,0.483,11,11,10,10,4.167765163,0.8145,-0.061821429,0.192678571,0,0.071428571,0.285714286,0.428571429,-0.181056754,-0.008642857,
21,post-defeat,0.135,0.434,12,12,11,10,4.72916643,0.7305,-0.231214286,0.185285714,-3.071428571,-3,1.5,0.785714286,0.51534091,-0.092964286,
22,pre-defeat,0.2155,0.139,12,13,15,15,5.05205629,0.7885,-0.087321429,-0.151321429,1,2.071428571,5.285714286,5.428571429,0.703234373,-0.034642857,
22,post-defeat,0.142,0.2575,13,13,10,10,5.006154148,0.792,-0.224214286,0.008785714,-2.071428571,-2,0.5,0.785714286,0.792328628,-0.031464286,
23,pre-defeat,0.1945,0.3365,12,12,12,12,4.903375069,0.786,-0.108321429,0.046178571,1,1.071428571,2.285714286,2.428571429,0.554553152,-0.037142857,
23,post-defeat,0.3255,0.3865,18,17,13,12,4.532798358,0.8395,-0.040714286,0.137785714,2.928571429,2,3.5,2.785714286,0.318972838,0.016035714,
24,pre-defeat,0.09,0.559,10,9,7,6,3.979085758,0.8335,-0.212821429,0.268678571,-1,-1.928571429,-2.714285714,-3.571428571,-0.369736159,0.010357143,
24,post-defeat,0.6385,0.1175,22,22,9,9,4.007712686,0.839,0.272285714,-0.131214286,6.928571429,7,-0.5,-0.214285714,-0.206112834,0.015535714,
25,pre-defeat,0.127,0.5135,5,4,5,4,4.585052569,0.8605,-0.175821429,0.223178571,-6,-6.928571429,-4.714285714,-5.571428571,0.236230652,0.037357143,
25,post-defeat,0.127,0.517,4,4,6,5,4.527635349,0.83,-0.239214286,0.268285714,-11.07142857,-11,-3.5,-4.214285714,0.313809829,0.006535714,
26,pre-defeat,0.291,0.3945,14,15,7,7,4.48366893,0.825,-0.011821429,0.104178571,3,4.071428571,-2.714285714,-2.571428571,0.134847013,0.001857143,
26,post-defeat,0.824,0.057,15,15,2,2,2.535852912,0.9355,0.457785714,-0.191714286,-0.071428571,0,-7.5,-7.214285714,-1.677972608,0.112035714,
,,,,,,,,,,,,,,,,,,
predef,mean,0.302821429,0.290321429,11,10.92857143,9.714285714,9.571428571,4.348821917,0.823142857,t_shelter,t_investigating,n_sh_co,n_co_sh,n_co_ch,n_ch_co,heatmap_entropy,laziness,(zero centered)
,std,0.170504672,0.157723606,3.891382421,4.199732742,3.843892585,4.030495994,0.623228867,0.041608906,0.194947581,0.149524265,6.477787793,6.587131859,3.617206612,3.643907412,0.678171382,0.045547246,
postdef,mean,0.366214286,0.248714286,15.07142857,15,9.5,9.214285714,4.21382552,0.823464286,,,,,,,,,
,std,0.216650122,0.140848413,8.293407758,8.315218406,3.375330672,3.211109542,0.728984655,0.049171153,,,,,,,,,
all,mean,0.334517857,0.269517857,13.03571429,12.96428571,9.607142857,9.392857143,4.281323719,0.823303571,,,,,,,,,
,std,0.197507526,0.150964547,6.790130142,6.894522375,3.618793067,3.648280277,0.681522142,0.04554753,,,,,,,,,
,max,0.824,0.559,39,39,18,18,5.211984137,0.9355,,,,,,,,,
,min,0.09,0.046,4,4,2,2,2.535852912,0.7305,,,,,,,,,
