mouse_id,phase,best_match_param_set,best_match_loss,resolved_param_set,resolved_loss,resolution_type,history_source_db,history_trial_id,history_filepath
13,def1,188,1.378981,188.0,1.378981,direct,Control_hab_FINAL.db,0.0,deprecated/Control_history/trial_0.csv
13,def3,98,2.000963,284.0,2.704162,substitute,calibration.db,32.0,deprecated/calibration_histories/trial_32_sim0.csv
14,def1,257,0.493728,257.0,0.493728,direct,calibration.db,5.0,deprecated/calibration_histories/trial_5_sim0.csv
14,def3,435,1.780409,291.0,2.184478,substitute,calibration.db,39.0,deprecated/calibration_histories/trial_39_sim0.csv
15,def1,435,3.19638,291.0,3.35033,substitute,calibration.db,39.0,deprecated/calibration_histories/trial_39_sim0.csv
15,def3,239,4.963152,239.0,4.963152,direct,Control_hab_FINAL.db,51.0,deprecated/Control_history/trial_51.csv
16,def1,207,5.159035,207.0,5.159035,direct,Control_hab_FINAL.db,19.0,deprecated/Control_history/trial_19.csv
16,def3,435,0.765346,257.0,1.104722,substitute,calibration.db,5.0,deprecated/calibration_histories/trial_5_sim0.csv
17,def1,282,1.089698,282.0,1.089698,direct,calibration.db,30.0,deprecated/calibration_histories/trial_30_sim0.csv
17,def3,289,2.163091,289.0,2.163091,direct,calibration.db,37.0,deprecated/calibration_histories/trial_37_sim0.csv
18,def1,436,0.822082,188.0,2.282781,substitute,Control_hab_FINAL.db,0.0,deprecated/Control_history/trial_0.csv
18,def3,377,1.834438,289.0,3.545442,substitute,calibration.db,37.0,deprecated/calibration_histories/trial_37_sim0.csv
20,def1,421,0.844586,201.0,2.185599,substitute,Control_hab_FINAL.db,13.0,deprecated/Control_history/trial_13.csv
20,def3,432,3.7542,222.0,4.304284,substitute,Control_hab_FINAL.db,34.0,deprecated/Control_history/trial_34.csv
21,def1,468,3.065959,468.0,3.065959,direct,Resilient_hab.db,20.0,deprecated/Resilient_history/trial_20.csv
21,def3,196,2.469929,196.0,2.469929,direct,Control_hab_FINAL.db,8.0,deprecated/Control_history/trial_8.csv
22,def1,372,3.654938,248.0,3.915614,substitute,Control_hab_FINAL.db,60.0,deprecated/Control_history/trial_60.csv
22,def3,370,2.919307,222.0,3.63474,substitute,Control_hab_FINAL.db,34.0,deprecated/Control_history/trial_34.csv
23,def1,430,1.912925,215.0,2.689837,substitute,Control_hab_FINAL.db,27.0,deprecated/Control_history/trial_27.csv
23,def3,427,7.193823,468.0,7.776147,substitute,Resilient_hab.db,20.0,deprecated/Resilient_history/trial_20.csv
24,def1,468,6.44809,468.0,6.44809,direct,Resilient_hab.db,20.0,deprecated/Resilient_history/trial_20.csv
24,def3,179,4.5938,179.0,4.5938,direct,Resilient_def.db,77.0,deprecated/Resilient_def_history/trial_77.csv
25,def1,215,2.42414,215.0,2.42414,direct,Control_hab_FINAL.db,27.0,deprecated/Control_history/trial_27.csv
25,def3,215,0.734083,215.0,0.734083,direct,Control_hab_FINAL.db,27.0,deprecated/Control_history/trial_27.csv
26,def1,427,7.841664,427.0,7.8,direct,Resilient_hab_FAIL.db,75.0,m26_def1_run.pkl
26,def3,146,2.141971,146.0,2.141971,direct,Resilient_def.db,44.0,deprecated/Resilient_def_history/trial_44.csv
