phase,metric,n_defeat,n_control,U,p_value,r,mean_defeat,mean_control,p_corrected,significant
def1,t_shelter,6,7,7.0,0.05128205128205128,-0.6667,-0.6795,0.2352,0.3434370893861147,False
def1,t_investigating,6,7,22.0,0.9452214452214451,0.0476,0.59,0.1705,0.9452214452214451,False
def1,n_sh_co,6,7,17.0,0.6136444115905411,-0.1905,-0.6173,-0.4189,0.7013078989606184,False
def1,n_co_sh,6,7,16.0,0.5180082295198487,-0.2381,-0.607,-0.4119,0.6906776393597983,False
def1,n_co_ch,6,7,10.0,0.12878890851979302,-0.5238,0.2302,0.9866,0.3434370893861147,False
def1,n_ch_co,6,7,12.0,0.21229687835647493,-0.4286,0.3205,0.9419,0.37482517482517486,False
def1,heatmap_entropy,6,7,12.0,0.23426573426573427,-0.4286,-0.9312,0.1658,0.37482517482517486,False
def1,laziness,6,7,33.0,0.10139860139860139,0.5714,-0.2333,-1.5397,0.3434370893861147,False
def3,t_shelter,6,7,29.0,0.2948717948717949,0.381,0.0137,-0.496,0.7863247863247863,False
def3,t_investigating,6,7,22.0,0.9452214452214451,0.0476,0.1711,0.1476,1.0,False
def3,n_sh_co,6,7,10.5,0.15086409376159798,-0.5,-1.0802,-0.6393,0.7863247863247863,False
def3,n_co_sh,6,7,13.0,0.2799775759624408,-0.381,-0.9863,-0.6503,0.7863247863247863,False
def3,n_co_ch,6,7,19.5,0.8843330158599481,-0.0714,-0.0921,-0.0789,1.0,False
def3,n_ch_co,6,7,25.0,0.6090954366814235,0.1905,0.0458,-0.157,1.0,False
def3,heatmap_entropy,6,7,21.0,1.0,0.0,-1.0503,-1.129,1.0,False
def3,laziness,6,7,22.5,0.8862477072704644,0.0714,0.5963,0.5683,1.0,False
