phase,metric,n,W,p_value,r,mean_err,p_corrected,significant
def1,t_shelter,13,32.0,0.6220703125,-0.2967,-0.187,0.6220703125,False
def1,t_investigating,13,23.0,0.127197265625,0.4945,0.3641,0.14536830357142858,False
def1,n_sh_co,13,4.0,0.0078125,-0.9121,-0.5104,0.03515625,True
def1,n_co_sh,13,4.5,0.0087890625,-0.9011,-0.5019,0.03515625,True
def1,n_co_ch,13,10.5,0.0224609375,0.7692,0.6375,0.044921875,True
def1,n_ch_co,13,11.5,0.015380859375,0.7473,0.6551,0.041015625,True
def1,heatmap_entropy,13,19.0,0.068115234375,-0.5824,-0.3405,0.0908203125,False
def1,laziness,13,18.0,0.057373046875,-0.6044,-0.9368,0.0908203125,False
def3,t_shelter,13,27.0,0.21630859375,-0.4066,-0.2607,0.34609375,False
def3,t_investigating,13,44.0,0.946044921875,0.033,0.1585,0.946044921875,False
def3,n_sh_co,13,0.0,0.000244140625,-1.0,-0.8428,0.001953125,True
def3,n_co_sh,13,0.0,0.00048828125,-1.0,-0.8054,0.001953125,True
def3,n_co_ch,13,23.5,0.716796875,-0.4835,-0.085,0.946044921875,False
def3,n_ch_co,13,30.0,0.849609375,-0.3407,-0.0634,0.946044921875,False
def3,heatmap_entropy,13,7.0,0.004638671875,-0.8462,-1.0927,0.012369791666666666,True
def3,laziness,13,25.5,0.17236328125,0.4396,0.5812,0.3447265625,False
