phase,metric,r2_model,r2_baseline
def1,t_shelter,-0.5112,-0.1428
def1,t_investigating,0.1598,0.464
def1,n_sh_co,-1.1925,-0.4952
def1,n_co_sh,-1.1313,-0.2745
def1,n_co_ch,-2.25,-1.4564
def1,n_ch_co,-1.5592,-0.8527
def1,heatmap_entropy,0.0672,0.2227
def1,laziness,-1.1983,0.3854
def3,t_shelter,0.4593,0.7215
def3,t_investigating,-0.33,0.2336
def3,n_sh_co,-2.7655,0.2469
def3,n_co_sh,-2.3305,0.2205
def3,n_co_ch,-0.0526,0.3684
def3,n_ch_co,-0.2639,0.5306
def3,heatmap_entropy,-0.7234,0.6165
def3,laziness,-0.5834,0.5185
