mouse_id,phase,best_match_loss,sub_param_set_id,sub_loss,loss_delta,sub_source_db,sub_trial_id,sub_path,n_qualifying,found
13,def3,2.001,284.0,2.7042,0.7032,calibration.db,32.0,deprecated/calibration_histories/trial_32_sim0.csv,4,True
14,def3,1.7804,291.0,2.1845,0.4041,calibration.db,39.0,deprecated/calibration_histories/trial_39_sim0.csv,3,True
15,def1,3.1964,291.0,3.3503,0.154,calibration.db,39.0,deprecated/calibration_histories/trial_39_sim0.csv,7,True
16,def3,0.7653,257.0,1.1047,0.3394,calibration.db,5.0,deprecated/calibration_histories/trial_5_sim0.csv,4,True
18,def1,0.8221,,,,,,,0,False
18,def3,1.8344,,,,,,,0,False
20,def1,0.8446,,,,,,,0,False
20,def3,3.7542,222.0,4.3043,0.5501,Control_hab_FINAL.db,34.0,deprecated/Control_history/trial_34.csv,1,True
22,def1,3.6549,248.0,3.9156,0.2607,Control_hab_FINAL.db,60.0,deprecated/Control_history/trial_60.csv,2,True
22,def3,2.9193,222.0,3.6347,0.7154,Control_hab_FINAL.db,34.0,deprecated/Control_history/trial_34.csv,1,True
23,def1,1.9129,215.0,2.6898,0.7769,Control_hab_FINAL.db,27.0,deprecated/Control_history/trial_27.csv,1,True
23,def3,7.1938,468.0,7.7761,0.5823,Resilient_hab.db,20.0,deprecated/Resilient_history/trial_20.csv,1,True
26,def1,7.8417,,,,,,,0,False
