mouse_id,cohort,group,id_threshold_d1,k_shelter_d1,k_threat_d1,id_threshold_d3,k_shelter_d3,k_threat_d3,delta_id_threshold,delta_k_shelter,delta_k_threat
13,original,control,0.7,0.36,0.45,0.52216483,0.47974044,0.90953826,-0.17783516999999993,0.11974044,0.45953826000000003
14,original,defeat,0.65614849,0.58125532,0.85,0.64502496,0.19794371,0.3661316,-0.011123529999999993,-0.38331161,-0.4838684
15,original,control,0.64502496,0.19794371,0.3661316,0.80173541,0.30359735,0.07417537,0.15671045000000006,0.10565364,-0.29195623
16,original,defeat,0.51139878,0.22573139,1.1170935,0.64502496,0.19794371,0.3661316,0.13362617999999993,-0.02778768000000001,-0.7509619
17,original,defeat,0.57622436,0.5043696,0.85,0.70291686,0.35702343,0.85,0.12669249999999999,-0.14734617,0.0
18,original,control,0.67590429,0.30575832,0.37479773,0.66537501,0.71889449,0.56219538,-0.010529279999999974,0.4131361700000001,0.18739765000000003
20,original,control,0.52582576,0.6992691,0.4831619,0.66916472,0.38762662,1.05070468,0.14333896000000002,-0.31164248,0.5675427799999999
21,original,control,0.10363083,4.82598988,0.11808067,0.8040564,1.24570112,0.35521314,0.70042557,-3.5802887599999997,0.23713246999999998
22,original,control,0.65090129,0.73420737,1.20418308,0.60020761,0.72064474,1.12097078,-0.05069367999999996,-0.01356263000000002,-0.08321230000000002
23,original,defeat,0.56282284,0.52583242,0.37792862,0.47497854,0.73502194,0.40967481,-0.08784430000000004,0.20918952000000002,0.03174619000000001
24,original,defeat,0.10363083,4.82598988,0.11808067,0.19465149,5.73582449,1.19677247,0.09102066000000002,0.9098346099999999,1.0786918
25,original,control,0.56883451,0.65114565,1.49608608,0.56883451,0.65114565,1.49608608,0.0,0.0,0.0
26,original,defeat,0.47497854,0.73502194,0.40967481,0.06386992,6.56252915,1.21490627,-0.41110862000000004,5.827507209999999,0.8052314599999999
4,new,control,0.6654,0.7189,0.5622,0.4171,0.5641,0.7549,-0.24829999999999997,-0.15479999999999994,0.19269999999999998
5,new,control,0.1058,4.8231,0.1354,0.103630834,4.825989884,0.118080673,-0.002169166,0.0028898840000000092,-0.017319326999999995
6,new,control,0.5668,0.6029,0.9498,0.5822,0.6393,1.5333,0.01540000000000008,0.03639999999999999,0.5835000000000001
1,new,defeat,0.562246323,0.928685043,0.739224398,0.1437,6.6601,1.4767,-0.418546323,5.731414957,0.737475602
2,new,defeat,0.8302,0.7343,0.3322,0.5157,0.2989,1.1558,-0.3145,-0.43539999999999995,0.8235999999999999
3,new,defeat,0.5138,0.2711,1.133,0.2194,4.9146,0.5692,-0.2944,4.6435,-0.5638
